n,activation_time,mode
967,2.5084880326376755,modified
968,2.5085089124411226,modified
969,2.509196470146383,modified
970,2.509258810461498,modified
971,2.5093217358961843,modified
972,2.509377451909308,modified
973,2.5097127619508837,modified
974,2.5100196294434567,modified
975,2.5102199568864942,modified
976,2.5103980113171516,modified
977,2.5105979908622653,modified
978,2.5108740711555386,modified
979,2.5113170574830144,modified
980,2.5113608265481178,modified
981,2.5115619509642806,modified
982,2.511804970209469,modified
983,2.5120734728897403,modified
984,2.5125681322610416,modified
985,2.5126849797484923,modified
986,2.5127474214007948,modified
987,2.5129066919666423,modified
988,2.512910058273837,modified
989,2.512964138604005,modified
990,2.5130076474475898,modified
991,2.5137595191229365,modified
992,2.5138184766172635,modified
993,2.5139549615567507,modified
994,2.514147863448713,modified
995,2.514459240813357,modified
996,2.5144648004649737,modified
997,2.514603103667021,modified
998,2.3214942431273395,modified
999,2.51518283345117,modified
1000,2.2315399694856419,modified
1001,2.5155155157114995,modified
1002,2.5160424430487196,modified
1003,2.516760634321971,modified
1004,2.517033874046305,modified
1005,2.51724057175575,modified
1006,2.51735133283022,modified
1007,2.5174341713113684,modified
1008,2.5178325836881523,modified
1009,2.518177829603599,modified
1010,2.518533770396875,modified
1011,2.5185431539656395,modified
1012,2.519000818920958,modified
1013,2.5190883846456464,modified
1014,2.519184922865433,modified
1015,2.519264926945964,modified
1016,2.519299376680231,modified
1017,2.519320479676569,modified
1018,2.5198990416446354,modified
1019,2.520210431854675,modified
1020,2.5205732604521325,modified
1021,2.5207016965585853,modified
1022,2.520736598380633,modified
1023,2.5212078907960276,modified
1024,2.5212948200386136,modified
1025,2.52165012645405,modified
1026,2.5218990286452763,modified
1027,2.321996500263161,modified
1028,2.5224538530585887,modified
1029,2.5225171323196642,modified
1030,2.522526752793532,modified
1031,2.522647238061238,modified
1032,2.5226510589681808,modified
1033,2.5229111835262596,modified
1034,2.5231440616784107,modified
1035,2.52329344056057,modified
1036,2.523460329264114,modified
1037,2.5241133094475994,modified
1038,2.524519670279098,modified
1039,2.5245363813554413,modified
1040,2.5246360814839344,modified
1041,2.5247728122569946,modified
1042,2.5248187634889923,modified
1043,2.3248609223034304,modified
1044,2.5250960194238234,modified
1045,2.5251216039064044,modified
1046,2.525195982395074,modified
1047,2.5253264998108635,modified
1048,2.525628418756005,modified
1049,2.525806212819085,modified
1050,2.5264486602536,modified
1051,2.526948344747877,modified
1052,2.526984950715012,modified
1053,2.2270795082240487,modified
1054,2.5271912354652146,modified
1055,2.527714753993889,modified
1056,2.5279931516977676,modified
1057,2.528273986912579,modified
1058,2.528382637244779,modified
1059,2.5284815739510265,modified
1060,2.52910480470184,modified
1061,2.529129206773251,modified
1062,2.529134197997439,modified
1063,2.5295329004957487,modified
1064,2.529609847542438,modified
1065,2.53002256905431,modified
1066,2.5305054560196254,modified
1067,2.531063349855556,modified
1068,2.5313168322452486,modified
1069,2.5313275604426755,modified
1070,2.5314525139738966,modified
1071,2.2315136071551914,modified
1072,2.531553180021728,modified
1073,2.531660053854626,modified
1074,2.532662375899988,modified
1075,2.5328449487621945,modified
1076,2.5328840057225515,modified
1077,2.533291686096044,modified
1078,2.5336418013599165,modified
1079,2.534068577453418,modified
1080,2.5344164709466206,modified
1081,2.5345549192741736,modified
1082,2.5346385781580696,modified
1083,2.534651576188583,modified
1084,2.534932497749522,modified
1085,2.5350058333162795,modified
1086,2.135374072912853,modified
1087,2.5355614285151846,modified
1088,2.5357979030143736,modified
1089,2.5365683085579764,modified
1090,2.5368587769014597,modified
1091,2.536898409173454,modified
1092,2.537024362255652,modified
1093,2.537102607999477,modified
1094,2.5376329661301997,modified
1095,2.5376347028258257,modified
1096,2.537774907189397,modified
1097,2.5385901942222775,modified
